P,G (J/mol)
1000.0,-350432.5
1100.0,-351025.3
1200.0,-351691.3
1300.0,-352401.1
1400.0,-353135.9
1500.0,-353883.6
1600.0,-354636.2
1700.0,-355388.0
1800.0,-356135.3
1900.0,-356875.6
2000.0,-357607.0
2100.0,-358328.5
2200.0,-359039.2
2300.0,-359738.7
2400.0,-360426.6
2500.0,-361102.9
2600.0,-361767.7
2700.0,-362420.9
2800.0,-363062.7
2900.0,-363693.4
3000.0,-364313.1
3100.0,-364922.2
3200.0,-365520.8
3300.0,-366109.2
3400.0,-366687.7
3500.0,-367256.7
3600.0,-367816.2
3700.0,-368366.7
3800.0,-368908.3
3900.0,-369441.4
4000.0,-369966.2
4100.0,-370482.9
4200.0,-370991.8
4300.0,-371493.0
4400.0,-371986.9
4500.0,-372473.7
4600.0,-372953.5
4700.0,-373426.5
4800.0,-373893.0
4900.0,-374353.2
5000.0,-374807.1
5100.0,-375255.1
5200.0,-375697.3
5300.0,-376133.8
5400.0,-376564.8
5500.0,-376990.4
5600.0,-377410.9
5700.0,-377826.3
5800.0,-378236.9
5900.0,-378642.6
6000.0,-379043.7
6100.0,-379440.3
6200.0,-379832.5
6300.0,-380220.5
6400.0,-380604.3
6500.0,-380984.1
6600.0,-381359.9
6700.0,-381731.9
6800.0,-382100.2
6900.0,-382464.8
7000.0,-382826.0
7100.0,-383183.7
7200.0,-383538.0
7300.0,-383889.1
7400.0,-384237.1
7500.0,-384581.9
7600.0,-384923.8
7700.0,-385262.7
7800.0,-385598.8
7900.0,-385932.1
8000.0,-386262.8
8100.0,-386590.8
8200.0,-386916.2
8300.0,-387239.2
8400.0,-387559.7
8500.0,-387877.9
8600.0,-388193.7
8700.0,-388507.2
8800.0,-388818.6
8900.0,-389127.8
9000.0,-389434.8
9100.0,-389739.9
9200.0,-390042.9
9300.0,-390343.9
9400.0,-390643.0
9500.0,-390940.2
9600.0,-391235.5
9700.0,-391529.1
9800.0,-391820.9
9900.0,-392110.9
10000.0,-392399.3
10100.0,-392686.0
10200.0,-392971.0
10300.0,-393254.5
10400.0,-393536.4
10500.0,-393816.8
10600.0,-394095.6
10700.0,-394373.0
10800.0,-394648.9
10900.0,-394923.4
11000.0,-395196.6
11100.0,-395468.3
11200.0,-395738.7
11300.0,-396007.8
11400.0,-396275.6
11500.0,-396542.1
11600.0,-396807.4
11700.0,-397071.4
11800.0,-397334.2
11900.0,-397595.9
12000.0,-397856.3
12100.0,-398115.7
12200.0,-398373.9
12300.0,-398631.0
12400.0,-398887.0
12500.0,-399141.9
12600.0,-399395.8
12700.0,-399648.6
12800.0,-399900.4
12900.0,-400151.2
13000.0,-400401.0
13100.0,-400649.9
13200.0,-400897.8
13300.0,-401144.7
13400.0,-401390.7
13500.0,-401635.8
13600.0,-401880.0
13700.0,-402123.3
13800.0,-402365.7
13900.0,-402607.3
14000.0,-402848.0
14100.0,-403087.9
14200.0,-403326.9
14300.0,-403565.2
14400.0,-403802.6
14500.0,-404039.3
14600.0,-404275.1
14700.0,-404510.2
14800.0,-404744.6
14900.0,-404978.1
15000.0,-405211.0
15100.0,-405443.1
15200.0,-405674.5
15300.0,-405905.2
15400.0,-406135.2
15500.0,-406364.5
15600.0,-406593.1
15700.0,-406821.1
15800.0,-407048.4
15900.0,-407275.0
16000.0,-407501.0
16100.0,-407726.3
16200.0,-407951.0
16300.0,-408175.1
16400.0,-408398.6
16500.0,-408621.5
16600.0,-408843.7
16700.0,-409065.4
16800.0,-409286.5
16900.0,-409507.0
17000.0,-409726.9
17100.0,-409946.3
17200.0,-410165.1
17300.0,-410383.4
17400.0,-410601.1
17500.0,-410818.3
17600.0,-411035.0
17700.0,-411251.1
17800.0,-411466.7
17900.0,-411681.8
18000.0,-411896.4
18100.0,-412110.5
18200.0,-412324.0
18300.0,-412537.1
18400.0,-412749.7
18500.0,-412961.9
18600.0,-413173.5
18700.0,-413384.7
18800.0,-413595.4
18900.0,-413805.7
19000.0,-414015.5
19100.0,-414224.8
19200.0,-414433.7
19300.0,-414642.2
19400.0,-414850.2
19500.0,-415057.8
19600.0,-415265.0
19700.0,-415471.7
19800.0,-415678.0
19900.0,-415883.9
20000.0,-416089.5
20100.0,-416294.5
20200.0,-416499.2
20300.0,-416703.5
20400.0,-416907.4
20500.0,-417111.0
20600.0,-417314.1
20700.0,-417516.8
20800.0,-417719.2
20900.0,-417921.2
21000.0,-418122.8
21100.0,-418324.1
21200.0,-418525.0
21300.0,-418725.5
21400.0,-418925.7
21500.0,-419125.5
21600.0,-419325.0
21700.0,-419524.1
21800.0,-419722.9
21900.0,-419921.3
22000.0,-420119.4
22100.0,-420317.2
22200.0,-420514.6
22300.0,-420711.7
22400.0,-420908.5
22500.0,-421105.0
22600.0,-421301.1
22700.0,-421497.0
22800.0,-421692.5
22900.0,-421887.7
23000.0,-422082.6
23100.0,-422277.2
23200.0,-422471.5
23300.0,-422665.4
23400.0,-422859.1
23500.0,-423052.5
23600.0,-423245.6
23700.0,-423438.4
23800.0,-423631.0
23900.0,-423823.2
24000.0,-424015.2
24100.0,-424206.8
24200.0,-424398.3
24300.0,-424589.4
24400.0,-424780.2
24500.0,-424970.8
24600.0,-425161.1
24700.0,-425351.2
24800.0,-425541.0
24900.0,-425730.5
25000.0,-425919.8
