P,G (J/mol)
1000.0,-393632.2
1100.0,-393031.8
1200.0,-392819.7
1300.0,-392850.0
1400.0,-393034.6
1500.0,-393318.9
1600.0,-393667.9
1700.0,-394058.9
1800.0,-394476.4
1900.0,-394910.2
2000.0,-395352.9
2100.0,-395799.4
2200.0,-396246.3
2300.0,-396690.9
2400.0,-397131.5
2500.0,-397566.7
2600.0,-397995.7
2700.0,-398417.9
2800.0,-398832.9
2900.0,-399240.4
3000.0,-399640.3
3100.0,-400032.6
3200.0,-400417.3
3300.0,-400794.5
3400.0,-401164.2
3500.0,-401526.6
3600.0,-401881.9
3700.0,-402230.2
3800.0,-402571.6
3900.0,-402906.3
4000.0,-403234.6
4100.0,-403556.5
4200.0,-403872.3
4300.0,-404182.2
4400.0,-404486.2
4500.0,-404784.6
4600.0,-405077.5
4700.0,-405365.1
4800.0,-405647.5
4900.0,-405925.0
5000.0,-406197.5
5100.0,-406465.4
5200.0,-406728.6
5300.0,-406987.4
5400.0,-407241.8
5500.0,-407492.0
5600.0,-407738.1
5700.0,-407980.3
5800.0,-408218.5
5900.0,-408453.0
6000.0,-408683.9
6100.0,-408911.1
6200.0,-409135.0
6300.0,-409355.4
6400.0,-409572.6
6500.0,-409786.5
6600.0,-409997.4
6700.0,-410205.2
6800.0,-410410.1
6900.0,-410612.2
7000.0,-410811.4
7100.0,-411007.9
7200.0,-411201.7
7300.0,-411392.9
7400.0,-411581.7
7500.0,-411767.9
7600.0,-411951.8
7700.0,-412133.3
7800.0,-412312.5
7900.0,-412489.5
8000.0,-412664.4
8100.0,-412837.1
8200.0,-413007.7
8300.0,-413176.4
8400.0,-413343.0
8500.0,-413507.8
8600.0,-413670.6
8700.0,-413831.6
8800.0,-413990.9
8900.0,-414148.4
9000.0,-414304.1
9100.0,-414458.2
9200.0,-414610.7
9300.0,-414761.6
9400.0,-414910.9
9500.0,-415058.8
9600.0,-415205.1
9700.0,-415350.0
9800.0,-415493.4
9900.0,-415635.5
10000.0,-415776.3
10100.0,-415915.7
10200.0,-416053.8
10300.0,-416190.7
10400.0,-416326.3
10500.0,-416460.7
10600.0,-416593.9
10700.0,-416726.0
10800.0,-416857.0
10900.0,-416986.8
11000.0,-417115.6
11100.0,-417243.2
11200.0,-417369.9
11300.0,-417495.5
11400.0,-417620.1
11500.0,-417743.8
11600.0,-417866.4
11700.0,-417988.2
11800.0,-418109.0
11900.0,-418228.9
12000.0,-418347.9
12100.0,-418466.0
12200.0,-418583.3
12300.0,-418699.7
12400.0,-418815.3
12500.0,-418930.1
12600.0,-419044.1
12700.0,-419157.3
12800.0,-419269.7
12900.0,-419381.4
13000.0,-419492.3
13100.0,-419602.5
13200.0,-419712.0
13300.0,-419820.8
13400.0,-419928.9
13500.0,-420036.2
13600.0,-420143.0
13700.0,-420249.0
13800.0,-420354.4
13900.0,-420459.2
14000.0,-420563.3
14100.0,-420666.8
14200.0,-420769.7
14300.0,-420872.0
14400.0,-420973.7
14500.0,-421074.8
14600.0,-421175.4
14700.0,-421275.4
14800.0,-421374.8
14900.0,-421473.6
15000.0,-421572.0
15100.0,-421669.8
15200.0,-421767.0
15300.0,-421863.8
15400.0,-421960.0
15500.0,-422055.8
15600.0,-422151.0
15700.0,-422245.8
15800.0,-422340.0
15900.0,-422433.8
16000.0,-422527.2
16100.0,-422620.0
16200.0,-422712.4
16300.0,-422804.4
16400.0,-422895.9
16500.0,-422987.0
16600.0,-423077.6
16700.0,-423167.8
16800.0,-423257.6
16900.0,-423347.0
17000.0,-423435.9
17100.0,-423524.5
17200.0,-423612.6
17300.0,-423700.4
17400.0,-423787.8
17500.0,-423874.8
17600.0,-423961.4
17700.0,-424047.6
17800.0,-424133.4
17900.0,-424218.9
18000.0,-424304.1
18100.0,-424388.8
18200.0,-424473.2
18300.0,-424557.3
18400.0,-424641.0
18500.0,-424724.4
18600.0,-424807.5
18700.0,-424890.2
18800.0,-424972.6
18900.0,-425054.6
19000.0,-425136.3
19100.0,-425217.8
19200.0,-425298.9
19300.0,-425379.6
19400.0,-425460.1
19500.0,-425540.3
19600.0,-425620.2
19700.0,-425699.8
19800.0,-425779.0
19900.0,-425858.0
20000.0,-425936.7
20100.0,-426015.2
20200.0,-426093.3
20300.0,-426171.2
20400.0,-426248.7
20500.0,-426326.1
20600.0,-426403.1
20700.0,-426479.9
20800.0,-426556.4
20900.0,-426632.6
21000.0,-426708.6
21100.0,-426784.4
21200.0,-426859.8
21300.0,-426935.1
21400.0,-427010.0
21500.0,-427084.8
21600.0,-427159.3
21700.0,-427233.5
21800.0,-427307.5
21900.0,-427381.3
22000.0,-427454.8
22100.0,-427528.2
22200.0,-427601.2
22300.0,-427674.1
22400.0,-427746.7
22500.0,-427819.1
22600.0,-427891.3
22700.0,-427963.3
22800.0,-428035.0
22900.0,-428106.5
23000.0,-428177.9
23100.0,-428249.0
23200.0,-428319.9
23300.0,-428390.6
23400.0,-428461.1
23500.0,-428531.3
23600.0,-428601.4
23700.0,-428671.3
23800.0,-428741.0
23900.0,-428810.5
24000.0,-428879.8
24100.0,-428948.9
24200.0,-429017.8
24300.0,-429086.6
24400.0,-429155.1
24500.0,-429223.5
24600.0,-429291.6
24700.0,-429359.6
24800.0,-429427.4
24900.0,-429495.1
25000.0,-429562.5
