P,Log K
1000.0,-2.762048
1100.0,-2.688362
1200.0,-2.618762
1300.0,-2.552838
1400.0,-2.490239
1500.0,-2.430667
1600.0,-2.373864
1700.0,-2.319604
1800.0,-2.267689
1900.0,-2.217944
2000.0,-2.170214
2100.0,-2.124359
2200.0,-2.080255
2300.0,-2.037789
2400.0,-1.996859
2500.0,-1.957373
2600.0,-1.919245
2700.0,-1.882399
2800.0,-1.846763
2900.0,-1.812272
3000.0,-1.778866
3100.0,-1.746489
3200.0,-1.715089
3300.0,-1.684618
3400.0,-1.655031
3500.0,-1.626287
3600.0,-1.598347
3700.0,-1.571174
3800.0,-1.544734
3900.0,-1.518995
4000.0,-1.493926
4100.0,-1.469501
4200.0,-1.44569
4300.0,-1.42247
4400.0,-1.399817
4500.0,-1.377707
4600.0,-1.35612
4700.0,-1.335035
4800.0,-1.314433
4900.0,-1.294296
5000.0,-1.274606
5100.0,-1.255346
5200.0,-1.236501
5300.0,-1.218057
5400.0,-1.199997
5500.0,-1.18231
5600.0,-1.164982
5700.0,-1.148001
5800.0,-1.131355
5900.0,-1.115034
6000.0,-1.099026
6100.0,-1.083322
6200.0,-1.067913
6300.0,-1.052788
6400.0,-1.03794
6500.0,-1.02336
6600.0,-1.009041
6700.0,-0.9949741
6800.0,-0.9811526
6900.0,-0.9675697
7000.0,-0.9542185
7100.0,-0.9410927
7200.0,-0.9281863
7300.0,-0.9154932
7400.0,-0.9030079
7500.0,-0.8907249
7600.0,-0.878639
7700.0,-0.8667452
7800.0,-0.8550386
7900.0,-0.8435146
8000.0,-0.8321687
8100.0,-0.8209966
8200.0,-0.809994
8300.0,-0.799157
8400.0,-0.7884818
8500.0,-0.7779644
8600.0,-0.7676014
8700.0,-0.7573892
8800.0,-0.7473245
8900.0,-0.7374039
9000.0,-0.7276244
9100.0,-0.7179827
9200.0,-0.7084761
9300.0,-0.6991016
9400.0,-0.6898564
9500.0,-0.6807379
9600.0,-0.6717434
9700.0,-0.6628704
9800.0,-0.6541164
9900.0,-0.6454791
10000.0,-0.6369562
10100.0,-0.6285453
10200.0,-0.6202444
10300.0,-0.6120513
10400.0,-0.6039639
10500.0,-0.5959803
10600.0,-0.5880985
10700.0,-0.5803165
10800.0,-0.5726327
10900.0,-0.5650451
11000.0,-0.5575521
11100.0,-0.550152
11200.0,-0.542843
11300.0,-0.5356236
11400.0,-0.5284923
11500.0,-0.5214474
11600.0,-0.5144876
11700.0,-0.5076114
11800.0,-0.5008173
11900.0,-0.4941039
12000.0,-0.4874701
12100.0,-0.4809143
12200.0,-0.4744354
12300.0,-0.4680321
12400.0,-0.4617032
12500.0,-0.4554474
12600.0,-0.4492638
12700.0,-0.443151
12800.0,-0.437108
12900.0,-0.4311337
13000.0,-0.4252271
13100.0,-0.4193871
13200.0,-0.4136127
13300.0,-0.4079029
13400.0,-0.4022568
13500.0,-0.3966734
13600.0,-0.3911518
13700.0,-0.3856911
13800.0,-0.3802904
13900.0,-0.3749488
14000.0,-0.3696655
14100.0,-0.3644397
14200.0,-0.3592706
14300.0,-0.3541573
14400.0,-0.349099
14500.0,-0.3440951
14600.0,-0.3391448
14700.0,-0.3342473
14800.0,-0.3294019
14900.0,-0.324608
15000.0,-0.3198647
15100.0,-0.3151716
15200.0,-0.3105278
15300.0,-0.3059328
15400.0,-0.3013858
15500.0,-0.2968864
15600.0,-0.2924338
15700.0,-0.2880275
15800.0,-0.2836669
15900.0,-0.2793514
16000.0,-0.2750804
16100.0,-0.2708534
16200.0,-0.2666699
16300.0,-0.2625292
16400.0,-0.2584309
16500.0,-0.2543745
16600.0,-0.2503594
16700.0,-0.2463852
16800.0,-0.2424513
16900.0,-0.2385573
17000.0,-0.2347026
17100.0,-0.230887
17200.0,-0.2271098
17300.0,-0.2233706
17400.0,-0.219669
17500.0,-0.2160046
17600.0,-0.212377
17700.0,-0.2087856
17800.0,-0.2052301
17900.0,-0.2017102
18000.0,-0.1982253
18100.0,-0.1947751
18200.0,-0.1913593
18300.0,-0.1879774
18400.0,-0.184629
18500.0,-0.1813139
18600.0,-0.1780316
18700.0,-0.1747818
18800.0,-0.1715642
18900.0,-0.1683783
19000.0,-0.1652239
19100.0,-0.1621006
19200.0,-0.1590081
19300.0,-0.1559461
19400.0,-0.1529143
19500.0,-0.1499122
19600.0,-0.1469398
19700.0,-0.1439965
19800.0,-0.1410822
19900.0,-0.1381965
20000.0,-0.1353391
20100.0,-0.1325099
20200.0,-0.1297084
20300.0,-0.1269344
20400.0,-0.1241876
20500.0,-0.1214678
20600.0,-0.1187747
20700.0,-0.116108
20800.0,-0.1134675
20900.0,-0.1108529
21000.0,-0.108264
21100.0,-0.1057005
21200.0,-0.1031623
21300.0,-0.1006489
21400.0,-0.09816025
21500.0,-0.09569608
21600.0,-0.09325615
21700.0,-0.09084024
21800.0,-0.08844812
21900.0,-0.08607957
22000.0,-0.08373438
22100.0,-0.08141233
22200.0,-0.07911321
22300.0,-0.07683681
22400.0,-0.07458292
22500.0,-0.07235135
22600.0,-0.07014189
22700.0,-0.06795434
22800.0,-0.0657885
22900.0,-0.0636442
23000.0,-0.06152122
23100.0,-0.0594194
23200.0,-0.05733854
23300.0,-0.05527845
23400.0,-0.05323897
23500.0,-0.05121991
23600.0,-0.04922109
23700.0,-0.04724234
23800.0,-0.04528349
23900.0,-0.04334437
24000.0,-0.04142482
24100.0,-0.03952466
24200.0,-0.03764374
24300.0,-0.03578189
24400.0,-0.03393896
24500.0,-0.03211479
24600.0,-0.03030921
24700.0,-0.02852209
24800.0,-0.02675327
24900.0,-0.02500259
25000.0,-0.02326992
