P,Log K
1000.0,3.903694
1100.0,3.882164
1200.0,3.870699
1300.0,3.865626
1400.0,3.864686
1500.0,3.866457
1600.0,3.870026
1700.0,3.874789
1800.0,3.880338
1900.0,3.886394
2000.0,3.892762
2100.0,3.899302
2200.0,3.905916
2300.0,3.912534
2400.0,3.919104
2500.0,3.92559
2600.0,3.931965
2700.0,3.938212
2800.0,3.944317
2900.0,3.950272
3000.0,3.956072
3100.0,3.961714
3200.0,3.967197
3300.0,3.972522
3400.0,3.977689
3500.0,3.982702
3600.0,3.987562
3700.0,3.992273
3800.0,3.996839
3900.0,4.001262
4000.0,4.005548
4100.0,4.009699
4200.0,4.013719
4300.0,4.017612
4400.0,4.021383
4500.0,4.025034
4600.0,4.02857
4700.0,4.031994
4800.0,4.035309
4900.0,4.03852
5000.0,4.041628
5100.0,4.044639
5200.0,4.047554
5300.0,4.050376
5400.0,4.053109
5500.0,4.055756
5600.0,4.058319
5700.0,4.060801
5800.0,4.063204
5900.0,4.065532
6000.0,4.067785
6100.0,4.069968
6200.0,4.072081
6300.0,4.074127
6400.0,4.076109
6500.0,4.078028
6600.0,4.079886
6700.0,4.081685
6800.0,4.083428
6900.0,4.085115
7000.0,4.086748
7100.0,4.08833
7200.0,4.089861
7300.0,4.091344
7400.0,4.092779
7500.0,4.094169
7600.0,4.095514
7700.0,4.096817
7800.0,4.098078
7900.0,4.099298
8000.0,4.10048
8100.0,4.101624
8200.0,4.102731
8300.0,4.103803
8400.0,4.10484
8500.0,4.105844
8600.0,4.106815
8700.0,4.107756
8800.0,4.108666
8900.0,4.109547
9000.0,4.1104
9100.0,4.111225
9200.0,4.112024
9300.0,4.112797
9400.0,4.113545
9500.0,4.114269
9600.0,4.11497
9700.0,4.115649
9800.0,4.116305
9900.0,4.116941
10000.0,4.117557
10100.0,4.118154
10200.0,4.118731
10300.0,4.11929
10400.0,4.119832
10500.0,4.120357
10600.0,4.120865
10700.0,4.121357
10800.0,4.121834
10900.0,4.122297
11000.0,4.122745
11100.0,4.123179
11200.0,4.1236
11300.0,4.124008
11400.0,4.124403
11500.0,4.124787
11600.0,4.125158
11700.0,4.125519
11800.0,4.125869
11900.0,4.126208
12000.0,4.126537
12100.0,4.126857
12200.0,4.127166
12300.0,4.127467
12400.0,4.127759
12500.0,4.128043
12600.0,4.128318
12700.0,4.128585
12800.0,4.128845
12900.0,4.129097
13000.0,4.129342
13100.0,4.129581
13200.0,4.129813
13300.0,4.130038
13400.0,4.130257
13500.0,4.130471
13600.0,4.130678
13700.0,4.130881
13800.0,4.131078
13900.0,4.131269
14000.0,4.131457
14100.0,4.131639
14200.0,4.131817
14300.0,4.13199
14400.0,4.13216
14500.0,4.132325
14600.0,4.132487
14700.0,4.132645
14800.0,4.132799
14900.0,4.132951
15000.0,4.133099
15100.0,4.133244
15200.0,4.133386
15300.0,4.133525
15400.0,4.133662
15500.0,4.133796
15600.0,4.133928
15700.0,4.134058
15800.0,4.134186
15900.0,4.134311
16000.0,4.134435
16100.0,4.134557
16200.0,4.134677
16300.0,4.134796
16400.0,4.134913
16500.0,4.135029
16600.0,4.135144
16700.0,4.135257
16800.0,4.13537
16900.0,4.135481
17000.0,4.135592
17100.0,4.135702
17200.0,4.135811
17300.0,4.135919
17400.0,4.136027
17500.0,4.136135
17600.0,4.136242
17700.0,4.136349
17800.0,4.136455
17900.0,4.136561
18000.0,4.136668
18100.0,4.136774
18200.0,4.13688
18300.0,4.136987
18400.0,4.137093
18500.0,4.1372
18600.0,4.137307
18700.0,4.137414
18800.0,4.137522
18900.0,4.137631
19000.0,4.137739
19100.0,4.137849
19200.0,4.137959
19300.0,4.138069
19400.0,4.138181
19500.0,4.138293
19600.0,4.138406
19700.0,4.13852
19800.0,4.138635
19900.0,4.138751
20000.0,4.138867
20100.0,4.138985
20200.0,4.139104
20300.0,4.139224
20400.0,4.139346
20500.0,4.139468
20600.0,4.139592
20700.0,4.139717
20800.0,4.139843
20900.0,4.139971
21000.0,4.1401
21100.0,4.140231
21200.0,4.140363
21300.0,4.140496
21400.0,4.140631
21500.0,4.140768
21600.0,4.140906
21700.0,4.141046
21800.0,4.141187
21900.0,4.141331
22000.0,4.141476
22100.0,4.141622
22200.0,4.141771
22300.0,4.141921
22400.0,4.142073
22500.0,4.142227
22600.0,4.142382
22700.0,4.14254
22800.0,4.1427
22900.0,4.142861
23000.0,4.143024
23100.0,4.14319
23200.0,4.143357
23300.0,4.143527
23400.0,4.143698
23500.0,4.143872
23600.0,4.144047
23700.0,4.144225
23800.0,4.144405
23900.0,4.144587
24000.0,4.144771
24100.0,4.144958
24200.0,4.145146
24300.0,4.145337
24400.0,4.14553
24500.0,4.145725
24600.0,4.145923
24700.0,4.146123
24800.0,4.146325
24900.0,4.146529
25000.0,4.146736
