P,G (J/mol)
1000.0,-51519.12
1100.0,-51889.18
1200.0,-52279.71
1300.0,-52679.93
1400.0,-53083.2
1500.0,-53485.37
1600.0,-53883.78
1700.0,-54276.75
1800.0,-54663.21
1900.0,-55042.51
2000.0,-55414.28
2100.0,-55778.34
2200.0,-56134.65
2300.0,-56483.24
2400.0,-56824.21
2500.0,-57157.72
2600.0,-57483.94
2700.0,-57803.06
2800.0,-58115.28
2900.0,-58420.8
3000.0,-58719.83
3100.0,-59012.59
3200.0,-59299.27
3300.0,-59580.08
3400.0,-59855.2
3500.0,-60124.83
3600.0,-60389.15
3700.0,-60648.34
3800.0,-60902.56
3900.0,-61151.98
4000.0,-61396.76
4100.0,-61637.04
4200.0,-61872.98
4300.0,-62104.71
4400.0,-62332.37
4500.0,-62556.08
4600.0,-62775.98
4700.0,-62992.17
4800.0,-63204.78
4900.0,-63413.91
5000.0,-63619.68
5100.0,-63822.17
5200.0,-64021.49
5300.0,-64217.74
5400.0,-64411.0
5500.0,-64601.36
5600.0,-64788.91
5700.0,-64973.72
5800.0,-65155.88
5900.0,-65335.46
6000.0,-65512.54
6100.0,-65687.18
6200.0,-65859.45
6300.0,-66029.42
6400.0,-66197.15
6500.0,-66362.71
6600.0,-66526.15
6700.0,-66687.52
6800.0,-66846.9
6900.0,-67004.32
7000.0,-67159.85
7100.0,-67313.53
7200.0,-67465.41
7300.0,-67615.54
7400.0,-67763.97
7500.0,-67910.75
7600.0,-68055.9
7700.0,-68199.49
7800.0,-68341.55
7900.0,-68482.12
8000.0,-68621.25
8100.0,-68758.95
8200.0,-68895.28
8300.0,-69030.27
8400.0,-69163.94
8500.0,-69296.33
8600.0,-69427.48
8700.0,-69557.4
8800.0,-69686.14
8900.0,-69813.71
9000.0,-69940.14
9100.0,-70065.47
9200.0,-70189.7
9300.0,-70312.87
9400.0,-70435.01
9500.0,-70556.12
9600.0,-70676.25
9700.0,-70795.39
9800.0,-70913.58
9900.0,-71030.84
10000.0,-71147.19
10100.0,-71262.63
10200.0,-71377.2
10300.0,-71490.9
10400.0,-71603.77
10500.0,-71715.8
10600.0,-71827.02
10700.0,-71937.44
10800.0,-72047.09
10900.0,-72155.96
11000.0,-72264.09
11100.0,-72371.47
11200.0,-72478.13
11300.0,-72584.08
11400.0,-72689.32
11500.0,-72793.88
11600.0,-72897.77
11700.0,-73000.99
11800.0,-73103.56
11900.0,-73205.49
12000.0,-73306.78
12100.0,-73407.46
12200.0,-73507.53
12300.0,-73607.01
12400.0,-73705.89
12500.0,-73804.19
12600.0,-73901.92
12700.0,-73999.1
12800.0,-74095.72
12900.0,-74191.79
13000.0,-74287.34
13100.0,-74382.35
13200.0,-74476.85
13300.0,-74570.84
13400.0,-74664.32
13500.0,-74757.31
13600.0,-74849.81
13700.0,-74941.83
13800.0,-75033.38
13900.0,-75124.46
14000.0,-75215.08
14100.0,-75305.25
14200.0,-75394.97
14300.0,-75484.25
14400.0,-75573.1
14500.0,-75661.52
14600.0,-75749.52
14700.0,-75837.1
14800.0,-75924.27
14900.0,-76011.04
15000.0,-76097.4
15100.0,-76183.38
15200.0,-76268.96
15300.0,-76354.16
15400.0,-76438.99
15500.0,-76523.43
15600.0,-76607.51
15700.0,-76691.23
15800.0,-76774.59
15900.0,-76857.59
16000.0,-76940.24
16100.0,-77022.55
16200.0,-77104.52
16300.0,-77186.15
16400.0,-77267.44
16500.0,-77348.41
16600.0,-77429.05
16700.0,-77509.37
16800.0,-77589.38
16900.0,-77669.07
17000.0,-77748.45
17100.0,-77827.53
17200.0,-77906.31
17300.0,-77984.78
17400.0,-78062.96
17500.0,-78140.85
17600.0,-78218.45
17700.0,-78295.77
17800.0,-78372.8
17900.0,-78449.56
18000.0,-78526.04
18100.0,-78602.25
18200.0,-78678.19
18300.0,-78753.86
18400.0,-78829.27
18500.0,-78904.42
18600.0,-78979.32
18700.0,-79053.95
18800.0,-79128.34
18900.0,-79202.47
19000.0,-79276.36
19100.0,-79350.01
19200.0,-79423.41
19300.0,-79496.58
19400.0,-79569.51
19500.0,-79642.2
19600.0,-79714.67
19700.0,-79786.9
19800.0,-79858.91
19900.0,-79930.69
20000.0,-80002.26
20100.0,-80073.6
20200.0,-80144.72
20300.0,-80215.63
20400.0,-80286.33
20500.0,-80356.81
20600.0,-80427.09
20700.0,-80497.15
20800.0,-80567.02
20900.0,-80636.68
21000.0,-80706.13
21100.0,-80775.39
21200.0,-80844.46
21300.0,-80913.32
21400.0,-80982.0
21500.0,-81050.48
21600.0,-81118.77
21700.0,-81186.88
21800.0,-81254.79
21900.0,-81322.53
22000.0,-81390.08
22100.0,-81457.45
22200.0,-81524.63
22300.0,-81591.65
22400.0,-81658.48
22500.0,-81725.14
22600.0,-81791.63
22700.0,-81857.95
22800.0,-81924.09
22900.0,-81990.07
23000.0,-82055.88
23100.0,-82121.52
23200.0,-82187.0
23300.0,-82252.32
23400.0,-82317.48
23500.0,-82382.48
23600.0,-82447.31
23700.0,-82511.99
23800.0,-82576.52
23900.0,-82640.89
24000.0,-82705.11
24100.0,-82769.17
24200.0,-82833.09
24300.0,-82896.86
24400.0,-82960.47
24500.0,-83023.95
24600.0,-83087.27
24700.0,-83150.45
24800.0,-83213.49
24900.0,-83276.39
25000.0,-83339.14
