P,Log K
1000.0,-9.439175
1100.0,-9.141955
1200.0,-8.891631
1300.0,-8.673476
1400.0,-8.479172
1500.0,-8.303497
1600.0,-8.142913
1700.0,-7.994881
1800.0,-7.857501
1900.0,-7.729303
2000.0,-7.609121
2100.0,-7.496012
2200.0,-7.389198
2300.0,-7.288028
2400.0,-7.191955
2500.0,-7.100507
2600.0,-7.013281
2700.0,-6.929925
2800.0,-6.85013
2900.0,-6.773624
3000.0,-6.700168
3100.0,-6.629546
3200.0,-6.561567
3300.0,-6.496058
3400.0,-6.432863
3500.0,-6.371841
3600.0,-6.312863
3700.0,-6.255812
3800.0,-6.200581
3900.0,-6.147071
4000.0,-6.095192
4100.0,-6.04486
4200.0,-5.995998
4300.0,-5.948534
4400.0,-5.902402
4500.0,-5.85754
4600.0,-5.813889
4700.0,-5.771397
4800.0,-5.730013
4900.0,-5.68969
5000.0,-5.650382
5100.0,-5.61205
5200.0,-5.574654
5300.0,-5.538156
5400.0,-5.502522
5500.0,-5.467719
5600.0,-5.433717
5700.0,-5.400484
5800.0,-5.367995
5900.0,-5.336222
6000.0,-5.30514
6100.0,-5.274725
6200.0,-5.244955
6300.0,-5.215807
6400.0,-5.187262
6500.0,-5.1593
6600.0,-5.131901
6700.0,-5.105049
6800.0,-5.078725
6900.0,-5.052913
7000.0,-5.027598
7100.0,-5.002764
7200.0,-4.978398
7300.0,-4.954485
7400.0,-4.931012
7500.0,-4.907966
7600.0,-4.885336
7700.0,-4.863108
7800.0,-4.841272
7900.0,-4.819818
8000.0,-4.798733
8100.0,-4.778009
8200.0,-4.757635
8300.0,-4.737602
8400.0,-4.717901
8500.0,-4.698524
8600.0,-4.679461
8700.0,-4.660704
8800.0,-4.642246
8900.0,-4.624078
9000.0,-4.606194
9100.0,-4.588586
9200.0,-4.571248
9300.0,-4.554171
9400.0,-4.537351
9500.0,-4.52078
9600.0,-4.504453
9700.0,-4.488363
9800.0,-4.472504
9900.0,-4.456872
10000.0,-4.44146
10100.0,-4.426263
10200.0,-4.411276
10300.0,-4.396495
10400.0,-4.381913
10500.0,-4.367528
10600.0,-4.353334
10700.0,-4.339328
10800.0,-4.325504
10900.0,-4.311859
11000.0,-4.298389
11100.0,-4.285091
11200.0,-4.27196
11300.0,-4.258993
11400.0,-4.246186
11500.0,-4.233537
11600.0,-4.221043
11700.0,-4.208699
11800.0,-4.196502
11900.0,-4.184451
12000.0,-4.172542
12100.0,-4.160772
12200.0,-4.149139
12300.0,-4.13764
12400.0,-4.126272
12500.0,-4.115033
12600.0,-4.10392
12700.0,-4.092932
12800.0,-4.082065
12900.0,-4.071318
13000.0,-4.060689
13100.0,-4.050174
13200.0,-4.039773
13300.0,-4.029484
13400.0,-4.019303
13500.0,-4.00923
13600.0,-3.999263
13700.0,-3.989399
13800.0,-3.979637
13900.0,-3.969976
14000.0,-3.960413
14100.0,-3.950946
14200.0,-3.941576
14300.0,-3.932299
14400.0,-3.923114
14500.0,-3.91402
14600.0,-3.905015
14700.0,-3.896099
14800.0,-3.887268
14900.0,-3.878523
15000.0,-3.869862
15100.0,-3.861283
15200.0,-3.852786
15300.0,-3.844368
15400.0,-3.83603
15500.0,-3.827768
15600.0,-3.819584
15700.0,-3.811475
15800.0,-3.80344
15900.0,-3.795478
16000.0,-3.787588
16100.0,-3.779769
16200.0,-3.772021
16300.0,-3.764341
16400.0,-3.75673
16500.0,-3.749185
16600.0,-3.741707
16700.0,-3.734294
16800.0,-3.726945
16900.0,-3.71966
17000.0,-3.712437
17100.0,-3.705277
17200.0,-3.698177
17300.0,-3.691137
17400.0,-3.684156
17500.0,-3.677234
17600.0,-3.67037
17700.0,-3.663563
17800.0,-3.656812
17900.0,-3.650117
18000.0,-3.643477
18100.0,-3.63689
18200.0,-3.630358
18300.0,-3.623878
18400.0,-3.61745
18500.0,-3.611073
18600.0,-3.604748
18700.0,-3.598472
18800.0,-3.592247
18900.0,-3.58607
19000.0,-3.579942
19100.0,-3.573861
19200.0,-3.567828
19300.0,-3.561841
19400.0,-3.555901
19500.0,-3.550006
19600.0,-3.544157
19700.0,-3.538351
19800.0,-3.53259
19900.0,-3.526873
20000.0,-3.521198
20100.0,-3.515566
20200.0,-3.509976
20300.0,-3.504428
20400.0,-3.498921
20500.0,-3.493454
20600.0,-3.488028
20700.0,-3.482641
20800.0,-3.477294
20900.0,-3.471985
21000.0,-3.466715
21100.0,-3.461483
21200.0,-3.456289
21300.0,-3.451132
21400.0,-3.446012
21500.0,-3.440928
21600.0,-3.435881
21700.0,-3.430869
21800.0,-3.425892
21900.0,-3.420951
22000.0,-3.416044
22100.0,-3.411171
22200.0,-3.406332
22300.0,-3.401526
22400.0,-3.396754
22500.0,-3.392015
22600.0,-3.387308
22700.0,-3.382634
22800.0,-3.377991
22900.0,-3.37338
23000.0,-3.3688
23100.0,-3.364251
23200.0,-3.359733
23300.0,-3.355245
23400.0,-3.350787
23500.0,-3.346359
23600.0,-3.34196
23700.0,-3.337591
23800.0,-3.33325
23900.0,-3.328938
24000.0,-3.324655
24100.0,-3.320399
24200.0,-3.316172
24300.0,-3.311972
24400.0,-3.307799
24500.0,-3.303654
24600.0,-3.299535
24700.0,-3.295443
24800.0,-3.291377
24900.0,-3.287337
25000.0,-3.283323
