P,Log K
1000.0,0.4183496
1100.0,0.1543998
1200.0,-0.01844242
1300.0,-0.1328823
1400.0,-0.2084639
1500.0,-0.2573565
1600.0,-0.2874293
1700.0,-0.3039436
1800.0,-0.3105197
1900.0,-0.3097116
2000.0,-0.3033599
2100.0,-0.2928163
2200.0,-0.2790889
2300.0,-0.2629405
2400.0,-0.2449549
2500.0,-0.2255836
2600.0,-0.2051793
2700.0,-0.184019
2800.0,-0.162322
2900.0,-0.1402629
3000.0,-0.1179812
3100.0,-0.09558844
3200.0,-0.0731745
3300.0,-0.05081148
3400.0,-0.02855735
3500.0,-0.006458607
3600.0,0.01544754
3700.0,0.03713152
3800.0,0.05856997
3900.0,0.07974466
4000.0,0.1006416
4100.0,0.1212502
4200.0,0.1415629
4300.0,0.1615745
4400.0,0.1812816
4500.0,0.2006827
4600.0,0.2197775
4700.0,0.2385669
4800.0,0.2570527
4900.0,0.2752375
5000.0,0.2931244
5100.0,0.3107173
5200.0,0.3280201
5300.0,0.3450375
5400.0,0.3617741
5500.0,0.3782348
5600.0,0.3944248
5700.0,0.4103494
5800.0,0.4260136
5900.0,0.441423
6000.0,0.4565829
6100.0,0.4714986
6200.0,0.4861755
6300.0,0.5006189
6400.0,0.5148341
6500.0,0.5288263
6600.0,0.5426007
6700.0,0.5561624
6800.0,0.5695164
6900.0,0.5826676
7000.0,0.595621
7100.0,0.6083813
7200.0,0.6209532
7300.0,0.6333414
7400.0,0.6455503
7500.0,0.6575843
7600.0,0.6694479
7700.0,0.6811453
7800.0,0.6926807
7900.0,0.7040581
8000.0,0.7152815
8100.0,0.7263549
8200.0,0.7372821
8300.0,0.7480669
8400.0,0.7587128
8500.0,0.7692236
8600.0,0.7796027
8700.0,0.7898536
8800.0,0.7999796
8900.0,0.809984
9000.0,0.8198701
9100.0,0.8296411
9200.0,0.8392999
9300.0,0.8488497
9400.0,0.8582933
9500.0,0.8676338
9600.0,0.8768739
9700.0,0.8860165
9800.0,0.8950643
9900.0,0.90402
10000.0,0.9128861
10100.0,0.9216652
10200.0,0.9303597
10300.0,0.938972
10400.0,0.9475043
10500.0,0.9559588
10600.0,0.9643376
10700.0,0.9726428
10800.0,0.9808762
10900.0,0.9890399
11000.0,0.9971355
11100.0,1.005165
11200.0,1.01313
11300.0,1.021032
11400.0,1.028874
11500.0,1.036655
11600.0,1.044378
11700.0,1.052045
11800.0,1.059657
11900.0,1.067215
12000.0,1.07472
12100.0,1.082174
12200.0,1.089578
12300.0,1.096934
12400.0,1.104242
12500.0,1.111504
12600.0,1.11872
12700.0,1.125893
12800.0,1.133022
12900.0,1.140109
13000.0,1.147155
13100.0,1.154162
13200.0,1.161129
13300.0,1.168057
13400.0,1.174949
13500.0,1.181804
13600.0,1.188623
13700.0,1.195408
13800.0,1.202159
13900.0,1.208876
14000.0,1.215562
14100.0,1.222215
14200.0,1.228838
14300.0,1.23543
14400.0,1.241993
14500.0,1.248527
14600.0,1.255032
14700.0,1.26151
14800.0,1.267961
14900.0,1.274386
15000.0,1.280785
15100.0,1.287159
15200.0,1.293508
15300.0,1.299833
15400.0,1.306135
15500.0,1.312413
15600.0,1.318669
15700.0,1.324903
15800.0,1.331116
15900.0,1.337308
16000.0,1.343479
16100.0,1.349629
16200.0,1.355761
16300.0,1.361873
16400.0,1.367966
16500.0,1.374041
16600.0,1.380097
16700.0,1.386137
16800.0,1.392159
16900.0,1.398164
17000.0,1.404153
17100.0,1.410126
17200.0,1.416083
17300.0,1.422024
17400.0,1.427951
17500.0,1.433863
17600.0,1.439761
17700.0,1.445644
17800.0,1.451514
17900.0,1.457371
18000.0,1.463214
18100.0,1.469045
18200.0,1.474863
18300.0,1.480668
18400.0,1.486462
18500.0,1.492244
18600.0,1.498015
18700.0,1.503774
18800.0,1.509523
18900.0,1.515261
19000.0,1.520988
19100.0,1.526706
19200.0,1.532413
19300.0,1.538111
19400.0,1.543799
19500.0,1.549478
19600.0,1.555148
19700.0,1.560809
19800.0,1.566461
19900.0,1.572105
20000.0,1.577741
20100.0,1.583369
20200.0,1.588989
20300.0,1.594601
20400.0,1.600206
20500.0,1.605803
20600.0,1.611394
20700.0,1.616978
20800.0,1.622555
20900.0,1.628125
21000.0,1.633689
21100.0,1.639247
21200.0,1.644798
21300.0,1.650344
21400.0,1.655884
21500.0,1.661419
21600.0,1.666948
21700.0,1.672471
21800.0,1.67799
21900.0,1.683503
22000.0,1.689012
22100.0,1.694516
22200.0,1.700015
22300.0,1.70551
22400.0,1.711001
22500.0,1.716487
22600.0,1.721969
22700.0,1.727448
22800.0,1.732922
22900.0,1.738393
23000.0,1.74386
23100.0,1.749324
23200.0,1.754784
23300.0,1.760241
23400.0,1.765695
23500.0,1.771145
23600.0,1.776593
23700.0,1.782038
23800.0,1.787481
23900.0,1.79292
24000.0,1.798357
24100.0,1.803792
24200.0,1.809225
24300.0,1.814655
24400.0,1.820083
24500.0,1.825509
24600.0,1.830932
24700.0,1.836355
24800.0,1.841775
24900.0,1.847193
25000.0,1.85261
