P,Log K
1000.0,-3.513371
1100.0,-3.310624
1200.0,-3.151652
1300.0,-3.021768
1400.0,-2.912415
1500.0,-2.818237
1600.0,-2.735692
1700.0,-2.662323
1800.0,-2.596369
1900.0,-2.536522
2000.0,-2.481789
2100.0,-2.431399
2200.0,-2.384741
2300.0,-2.341324
2400.0,-2.300746
2500.0,-2.262676
2600.0,-2.226837
2700.0,-2.192996
2800.0,-2.160953
2900.0,-2.130537
3000.0,-2.101601
3100.0,-2.074015
3200.0,-2.047667
3300.0,-2.022459
3400.0,-1.998301
3500.0,-1.975116
3600.0,-1.952834
3700.0,-1.931392
3800.0,-1.910734
3900.0,-1.890809
4000.0,-1.87157
4100.0,-1.852976
4200.0,-1.834989
4300.0,-1.817573
4400.0,-1.800695
4500.0,-1.784327
4600.0,-1.768442
4700.0,-1.753013
4800.0,-1.738019
4900.0,-1.723436
5000.0,-1.709246
5100.0,-1.69543
5200.0,-1.681969
5300.0,-1.668848
5400.0,-1.656053
5500.0,-1.643567
5600.0,-1.631379
5700.0,-1.619476
5800.0,-1.607845
5900.0,-1.596476
6000.0,-1.585359
6100.0,-1.574483
6200.0,-1.563839
6300.0,-1.553419
6400.0,-1.543214
6500.0,-1.533215
6600.0,-1.523417
6700.0,-1.513811
6800.0,-1.504391
6900.0,-1.49515
7000.0,-1.486082
7100.0,-1.477181
7200.0,-1.468443
7300.0,-1.45986
7400.0,-1.451429
7500.0,-1.443145
7600.0,-1.435003
7700.0,-1.426998
7800.0,-1.419126
7900.0,-1.411384
8000.0,-1.403766
8100.0,-1.39627
8200.0,-1.388893
8300.0,-1.381629
8400.0,-1.374477
8500.0,-1.367433
8600.0,-1.360493
8700.0,-1.353656
8800.0,-1.346918
8900.0,-1.340276
9000.0,-1.333727
9100.0,-1.32727
9200.0,-1.320902
9300.0,-1.31462
9400.0,-1.308422
9500.0,-1.302306
9600.0,-1.296269
9700.0,-1.29031
9800.0,-1.284427
9900.0,-1.278618
10000.0,-1.27288
10100.0,-1.267212
10200.0,-1.261613
10300.0,-1.25608
10400.0,-1.250612
10500.0,-1.245207
10600.0,-1.239864
10700.0,-1.234582
10800.0,-1.229358
10900.0,-1.224193
11000.0,-1.219083
11100.0,-1.214029
11200.0,-1.209028
11300.0,-1.20408
11400.0,-1.199184
11500.0,-1.194337
11600.0,-1.18954
11700.0,-1.184791
11800.0,-1.180089
11900.0,-1.175434
12000.0,-1.170823
12100.0,-1.166257
12200.0,-1.161734
12300.0,-1.157254
12400.0,-1.152815
12500.0,-1.148416
12600.0,-1.144058
12700.0,-1.139739
12800.0,-1.135459
12900.0,-1.131216
13000.0,-1.12701
13100.0,-1.12284
13200.0,-1.118706
13300.0,-1.114607
13400.0,-1.110541
13500.0,-1.10651
13600.0,-1.102512
13700.0,-1.098546
13800.0,-1.094611
13900.0,-1.090708
14000.0,-1.086836
14100.0,-1.082994
14200.0,-1.079182
14300.0,-1.075398
14400.0,-1.071643
14500.0,-1.067917
14600.0,-1.064218
14700.0,-1.060546
14800.0,-1.056901
14900.0,-1.053282
15000.0,-1.04969
15100.0,-1.046122
15200.0,-1.04258
15300.0,-1.039062
15400.0,-1.035568
15500.0,-1.032099
15600.0,-1.028653
15700.0,-1.025229
15800.0,-1.021829
15900.0,-1.018451
16000.0,-1.015095
16100.0,-1.011761
16200.0,-1.008448
16300.0,-1.005156
16400.0,-1.001885
16500.0,-0.9986346
16600.0,-0.9954041
16700.0,-0.9921934
16800.0,-0.9890023
16900.0,-0.9858305
17000.0,-0.9826777
17100.0,-0.9795436
17200.0,-0.9764279
17300.0,-0.9733304
17400.0,-0.9702509
17500.0,-0.967189
17600.0,-0.9641446
17700.0,-0.9611174
17800.0,-0.9581071
17900.0,-0.9551136
18000.0,-0.9521365
18100.0,-0.9491758
18200.0,-0.9462311
18300.0,-0.9433022
18400.0,-0.940389
18500.0,-0.9374913
18600.0,-0.9346087
18700.0,-0.9317412
18800.0,-0.9288886
18900.0,-0.9260506
19000.0,-0.923227
19100.0,-0.9204177
19200.0,-0.9176225
19300.0,-0.9148412
19400.0,-0.9120737
19500.0,-0.9093198
19600.0,-0.9065792
19700.0,-0.9038519
19800.0,-0.9011376
19900.0,-0.8984363
20000.0,-0.8957477
20100.0,-0.8930718
20200.0,-0.8904083
20300.0,-0.8877571
20400.0,-0.885118
20500.0,-0.882491
20600.0,-0.8798759
20700.0,-0.8772724
20800.0,-0.8746806
20900.0,-0.8721003
21000.0,-0.8695313
21100.0,-0.8669734
21200.0,-0.8644267
21300.0,-0.8618909
21400.0,-0.8593659
21500.0,-0.8568517
21600.0,-0.854348
21700.0,-0.8518548
21800.0,-0.8493719
21900.0,-0.8468993
22000.0,-0.8444368
22100.0,-0.8419843
22200.0,-0.8395417
22300.0,-0.8371089
22400.0,-0.8346858
22500.0,-0.8322723
22600.0,-0.8298683
22700.0,-0.8274737
22800.0,-0.8250883
22900.0,-0.8227122
23000.0,-0.8203451
23100.0,-0.817987
23200.0,-0.8156378
23300.0,-0.8132975
23400.0,-0.8109659
23500.0,-0.8086428
23600.0,-0.8063284
23700.0,-0.8040224
23800.0,-0.8017247
23900.0,-0.7994354
24000.0,-0.7971543
24100.0,-0.7948812
24200.0,-0.7926163
24300.0,-0.7903592
24400.0,-0.7881101
24500.0,-0.7858688
24600.0,-0.7836352
24700.0,-0.7814093
24800.0,-0.7791909
24900.0,-0.7769801
25000.0,-0.7747766
