P,Log K
1000.0,-11.05451
1100.0,-10.88835
1200.0,-10.7499
1300.0,-10.6303
1400.0,-10.52444
1500.0,-10.42908
1600.0,-10.34206
1700.0,-10.26184
1800.0,-10.18731
1900.0,-10.11761
2000.0,-10.05207
2100.0,-9.990158
2200.0,-9.931449
2300.0,-9.875588
2400.0,-9.822279
2500.0,-9.771273
2600.0,-9.722358
2700.0,-9.67535
2800.0,-9.630092
2900.0,-9.586444
3000.0,-9.544284
3100.0,-9.503504
3200.0,-9.464008
3300.0,-9.425711
3400.0,-9.388535
3500.0,-9.35241
3600.0,-9.317274
3700.0,-9.283069
3800.0,-9.249743
3900.0,-9.217248
4000.0,-9.18554
4100.0,-9.15458
4200.0,-9.124329
4300.0,-9.094754
4400.0,-9.065822
4500.0,-9.037504
4600.0,-9.009773
4700.0,-8.982603
4800.0,-8.95597
4900.0,-8.929851
5000.0,-8.904226
5100.0,-8.879075
5200.0,-8.854378
5300.0,-8.83012
5400.0,-8.806283
5500.0,-8.782852
5600.0,-8.759813
5700.0,-8.73715
5800.0,-8.714852
5900.0,-8.692906
6000.0,-8.6713
6100.0,-8.650023
6200.0,-8.629063
6300.0,-8.608412
6400.0,-8.588059
6500.0,-8.567995
6600.0,-8.548211
6700.0,-8.528699
6800.0,-8.509451
6900.0,-8.490458
7000.0,-8.471715
7100.0,-8.453213
7200.0,-8.434946
7300.0,-8.416907
7400.0,-8.399091
7500.0,-8.38149
7600.0,-8.3641
7700.0,-8.346915
7800.0,-8.32993
7900.0,-8.313138
8000.0,-8.296537
8100.0,-8.28012
8200.0,-8.263883
8300.0,-8.247821
8400.0,-8.231932
8500.0,-8.216209
8600.0,-8.20065
8700.0,-8.18525
8800.0,-8.170006
8900.0,-8.154914
9000.0,-8.139971
9100.0,-8.125173
9200.0,-8.110517
9300.0,-8.096
9400.0,-8.081618
9500.0,-8.067369
9600.0,-8.05325
9700.0,-8.039258
9800.0,-8.025391
9900.0,-8.011645
10000.0,-7.998018
10100.0,-7.984507
10200.0,-7.971111
10300.0,-7.957826
10400.0,-7.944651
10500.0,-7.931584
10600.0,-7.918622
10700.0,-7.905763
10800.0,-7.893005
10900.0,-7.880347
11000.0,-7.867786
11100.0,-7.85532
11200.0,-7.842949
11300.0,-7.830669
11400.0,-7.81848
11500.0,-7.80638
11600.0,-7.794367
11700.0,-7.78244
11800.0,-7.770598
11900.0,-7.758838
12000.0,-7.747159
12100.0,-7.735561
12200.0,-7.724041
12300.0,-7.712599
12400.0,-7.701233
12500.0,-7.689942
12600.0,-7.678725
12700.0,-7.66758
12800.0,-7.656507
12900.0,-7.645504
13000.0,-7.63457
13100.0,-7.623705
13200.0,-7.612907
13300.0,-7.602174
13400.0,-7.591507
13500.0,-7.580905
13600.0,-7.570365
13700.0,-7.559888
13800.0,-7.549472
13900.0,-7.539117
14000.0,-7.528822
14100.0,-7.518586
14200.0,-7.508407
14300.0,-7.498286
14400.0,-7.488222
14500.0,-7.478213
14600.0,-7.46826
14700.0,-7.45836
14800.0,-7.448514
14900.0,-7.438721
15000.0,-7.428981
15100.0,-7.419291
15200.0,-7.409653
15300.0,-7.400065
15400.0,-7.390526
15500.0,-7.381037
15600.0,-7.371595
15700.0,-7.362202
15800.0,-7.352855
15900.0,-7.343556
16000.0,-7.334302
16100.0,-7.325094
16200.0,-7.315931
16300.0,-7.306812
16400.0,-7.297737
16500.0,-7.288706
16600.0,-7.279717
16700.0,-7.270771
16800.0,-7.261867
16900.0,-7.253005
17000.0,-7.244183
17100.0,-7.235402
17200.0,-7.226661
17300.0,-7.21796
17400.0,-7.209298
17500.0,-7.200675
17600.0,-7.192091
17700.0,-7.183544
17800.0,-7.175035
17900.0,-7.166563
18000.0,-7.158128
18100.0,-7.14973
18200.0,-7.141367
18300.0,-7.13304
18400.0,-7.124749
18500.0,-7.116493
18600.0,-7.108271
18700.0,-7.100083
18800.0,-7.09193
18900.0,-7.08381
19000.0,-7.075723
19100.0,-7.06767
19200.0,-7.059649
19300.0,-7.05166
19400.0,-7.043704
19500.0,-7.035779
19600.0,-7.027885
19700.0,-7.020023
19800.0,-7.012192
19900.0,-7.004391
20000.0,-6.996621
20100.0,-6.98888
20200.0,-6.981169
20300.0,-6.973488
20400.0,-6.965836
20500.0,-6.958213
20600.0,-6.950619
20700.0,-6.943053
20800.0,-6.935515
20900.0,-6.928005
21000.0,-6.920523
21100.0,-6.913069
21200.0,-6.905641
21300.0,-6.898241
21400.0,-6.890867
21500.0,-6.88352
21600.0,-6.8762
21700.0,-6.868905
21800.0,-6.861637
21900.0,-6.854394
22000.0,-6.847176
22100.0,-6.839984
22200.0,-6.832817
22300.0,-6.825675
22400.0,-6.818557
22500.0,-6.811464
22600.0,-6.804395
22700.0,-6.797351
22800.0,-6.79033
22900.0,-6.783333
23000.0,-6.776359
23100.0,-6.769409
23200.0,-6.762482
23300.0,-6.755578
23400.0,-6.748697
23500.0,-6.741838
23600.0,-6.735002
23700.0,-6.728189
23800.0,-6.721397
23900.0,-6.714627
24000.0,-6.70788
24100.0,-6.701154
24200.0,-6.694449
24300.0,-6.687766
24400.0,-6.681104
24500.0,-6.674463
24600.0,-6.667843
24700.0,-6.661243
24800.0,-6.654664
24900.0,-6.648106
25000.0,-6.641568
