P,G (J/mol)
1000.0,-42067.85
1100.0,-41361.23
1200.0,-40697.7
1300.0,-40070.14
1400.0,-39473.08
1500.0,-38902.18
1600.0,-38353.98
1700.0,-37825.66
1800.0,-37314.9
1900.0,-36819.74
2000.0,-36338.56
2100.0,-35869.97
2200.0,-35412.77
2300.0,-34965.94
2400.0,-34528.59
2500.0,-34099.92
2600.0,-33679.26
2700.0,-33265.99
2800.0,-32859.57
2900.0,-32459.51
3000.0,-32065.39
3100.0,-31676.8
3200.0,-31293.41
3300.0,-30914.89
3400.0,-30540.95
3500.0,-30171.31
3600.0,-29805.76
3700.0,-29444.04
3800.0,-29085.98
3900.0,-28731.37
4000.0,-28380.04
4100.0,-28031.83
4200.0,-27686.59
4300.0,-27344.19
4400.0,-27004.49
4500.0,-26667.37
4600.0,-26332.73
4700.0,-26000.45
4800.0,-25670.44
4900.0,-25342.6
5000.0,-25016.85
5100.0,-24693.11
5200.0,-24371.3
5300.0,-24051.34
5400.0,-23733.18
5500.0,-23416.74
5600.0,-23101.96
5700.0,-22788.79
5800.0,-22477.16
5900.0,-22167.04
6000.0,-21858.36
6100.0,-21551.09
6200.0,-21245.17
6300.0,-20940.57
6400.0,-20637.24
6500.0,-20335.14
6600.0,-20034.25
6700.0,-19734.51
6800.0,-19435.9
6900.0,-19138.39
7000.0,-18841.95
7100.0,-18546.54
7200.0,-18252.14
7300.0,-17958.72
7400.0,-17666.25
7500.0,-17374.71
7600.0,-17084.08
7700.0,-16794.32
7800.0,-16505.43
7900.0,-16217.38
8000.0,-15930.14
8100.0,-15643.7
8200.0,-15358.04
8300.0,-15073.13
8400.0,-14788.97
8500.0,-14505.54
8600.0,-14222.81
8700.0,-13940.78
8800.0,-13659.42
8900.0,-13378.72
9000.0,-13098.67
9100.0,-12819.26
9200.0,-12540.46
9300.0,-12262.27
9400.0,-11984.68
9500.0,-11707.66
9600.0,-11431.22
9700.0,-11155.33
9800.0,-10879.99
9900.0,-10605.19
10000.0,-10330.91
10100.0,-10057.15
10200.0,-9783.895
10300.0,-9511.135
10400.0,-9238.861
10500.0,-8967.065
10600.0,-8695.737
10700.0,-8424.869
10800.0,-8154.452
10900.0,-7884.479
11000.0,-7614.942
11100.0,-7345.832
11200.0,-7077.142
11300.0,-6808.866
11400.0,-6540.995
11500.0,-6273.524
11600.0,-6006.444
11700.0,-5739.751
11800.0,-5473.436
11900.0,-5207.494
12000.0,-4941.92
12100.0,-4676.706
12200.0,-4411.847
12300.0,-4147.337
12400.0,-3883.172
12500.0,-3619.345
12600.0,-3355.851
12700.0,-3092.685
12800.0,-2829.842
12900.0,-2567.318
13000.0,-2305.106
13100.0,-2043.203
13200.0,-1781.605
13300.0,-1520.306
13400.0,-1259.302
13500.0,-998.5883
13600.0,-738.1618
13700.0,-478.0178
13800.0,-218.1523
13900.0,41.43854
14000.0,300.7587
14100.0,559.8118
14200.0,818.6017
14300.0,1077.132
14400.0,1335.406
14500.0,1593.427
14600.0,1851.2
14700.0,2108.726
14800.0,2366.009
14900.0,2623.053
15000.0,2879.861
15100.0,3136.436
15200.0,3392.78
15300.0,3648.897
15400.0,3904.789
15500.0,4160.46
15600.0,4415.913
15700.0,4671.149
15800.0,4926.172
15900.0,5180.984
16000.0,5435.588
16100.0,5689.986
16200.0,5944.181
16300.0,6198.176
16400.0,6451.973
16500.0,6705.573
16600.0,6958.98
16700.0,7212.196
16800.0,7465.222
16900.0,7718.062
17000.0,7970.717
17100.0,8223.19
17200.0,8475.482
17300.0,8727.595
17400.0,8979.533
17500.0,9231.295
17600.0,9482.886
17700.0,9734.305
17800.0,9985.556
17900.0,10236.64
18000.0,10487.56
18100.0,10738.32
18200.0,10988.91
18300.0,11239.34
18400.0,11489.62
18500.0,11739.74
18600.0,11989.71
18700.0,12239.52
18800.0,12489.18
18900.0,12738.69
19000.0,12988.05
19100.0,13237.27
19200.0,13486.34
19300.0,13735.27
19400.0,13984.05
19500.0,14232.7
19600.0,14481.2
19700.0,14729.56
19800.0,14977.79
19900.0,15225.89
20000.0,15473.85
20100.0,15721.67
20200.0,15969.37
20300.0,16216.93
20400.0,16464.37
20500.0,16711.68
20600.0,16958.86
20700.0,17205.92
20800.0,17452.85
20900.0,17699.66
21000.0,17946.35
21100.0,18192.91
21200.0,18439.36
21300.0,18685.69
21400.0,18931.9
21500.0,19178.0
21600.0,19423.98
21700.0,19669.84
21800.0,19915.6
21900.0,20161.24
22000.0,20406.77
22100.0,20652.19
22200.0,20897.5
22300.0,21142.7
22400.0,21387.79
22500.0,21632.78
22600.0,21877.67
22700.0,22122.45
22800.0,22367.12
22900.0,22611.69
23000.0,22856.16
23100.0,23100.53
23200.0,23344.8
23300.0,23588.97
23400.0,23833.05
23500.0,24077.02
23600.0,24320.9
23700.0,24564.68
23800.0,24808.37
23900.0,25051.96
24000.0,25295.46
24100.0,25538.87
24200.0,25782.18
24300.0,26025.4
24400.0,26268.53
24500.0,26511.58
24600.0,26754.53
24700.0,26997.39
24800.0,27240.17
24900.0,27482.86
25000.0,27725.46
