P,G (J/mol)
1000.0,-41128.69
1100.0,-40700.27
1200.0,-40604.35
1300.0,-40715.43
1400.0,-40957.3
1500.0,-41282.67
1600.0,-41661.4
1700.0,-42073.81
1800.0,-42506.78
1900.0,-42951.37
2000.0,-43401.46
2100.0,-43852.79
2200.0,-44302.37
2300.0,-44748.11
2400.0,-45188.57
2500.0,-45622.74
2600.0,-46049.95
2700.0,-46469.76
2800.0,-46881.91
2900.0,-47286.26
3000.0,-47682.77
3100.0,-48071.47
3200.0,-48452.43
3300.0,-48825.78
3400.0,-49191.65
3500.0,-49550.2
3600.0,-49901.61
3700.0,-50246.05
3800.0,-50583.7
3900.0,-50914.76
4000.0,-51239.4
4100.0,-51557.81
4200.0,-51870.18
4300.0,-52176.67
4400.0,-52477.47
4500.0,-52772.73
4600.0,-53062.63
4700.0,-53347.33
4800.0,-53626.98
4900.0,-53901.72
5000.0,-54171.71
5100.0,-54437.08
5200.0,-54697.97
5300.0,-54954.5
5400.0,-55206.81
5500.0,-55455.02
5600.0,-55699.23
5700.0,-55939.57
5800.0,-56176.15
5900.0,-56409.06
6000.0,-56638.42
6100.0,-56864.31
6200.0,-57086.84
6300.0,-57306.09
6400.0,-57522.15
6500.0,-57735.11
6600.0,-57945.06
6700.0,-58152.06
6800.0,-58356.2
6900.0,-58557.56
7000.0,-58756.2
7100.0,-58952.19
7200.0,-59145.61
7300.0,-59336.51
7400.0,-59524.96
7500.0,-59711.03
7600.0,-59894.77
7700.0,-60076.23
7800.0,-60255.49
7900.0,-60432.58
8000.0,-60607.56
8100.0,-60780.49
8200.0,-60951.41
8300.0,-61120.37
8400.0,-61287.41
8500.0,-61452.6
8600.0,-61615.96
8700.0,-61777.54
8800.0,-61937.38
8900.0,-62095.52
9000.0,-62252.01
9100.0,-62406.88
9200.0,-62560.17
9300.0,-62711.91
9400.0,-62862.14
9500.0,-63010.9
9600.0,-63158.22
9700.0,-63304.13
9800.0,-63448.67
9900.0,-63591.86
10000.0,-63733.74
10100.0,-63874.34
10200.0,-64013.67
10300.0,-64151.79
10400.0,-64288.7
10500.0,-64424.43
10600.0,-64559.02
10700.0,-64692.48
10800.0,-64824.84
10900.0,-64956.12
11000.0,-65086.34
11100.0,-65215.52
11200.0,-65343.69
11300.0,-65470.86
11400.0,-65597.06
11500.0,-65722.3
11600.0,-65846.61
11700.0,-65969.99
11800.0,-66092.47
11900.0,-66214.07
12000.0,-66334.79
12100.0,-66454.66
12200.0,-66573.7
12300.0,-66691.91
12400.0,-66809.31
12500.0,-66925.92
12600.0,-67041.75
12700.0,-67156.82
12800.0,-67271.13
12900.0,-67384.7
13000.0,-67497.55
13100.0,-67609.68
13200.0,-67721.11
13300.0,-67831.84
13400.0,-67941.9
13500.0,-68051.29
13600.0,-68160.02
13700.0,-68268.1
13800.0,-68375.55
13900.0,-68482.37
14000.0,-68588.57
14100.0,-68694.16
14200.0,-68799.16
14300.0,-68903.57
14400.0,-69007.4
14500.0,-69110.66
14600.0,-69213.36
14700.0,-69315.5
14800.0,-69417.09
14900.0,-69518.15
15000.0,-69618.68
15100.0,-69718.69
15200.0,-69818.18
15300.0,-69917.17
15400.0,-70015.65
15500.0,-70113.65
15600.0,-70211.15
15700.0,-70308.18
15800.0,-70404.73
15900.0,-70500.82
16000.0,-70596.45
16100.0,-70691.63
16200.0,-70786.35
16300.0,-70880.64
16400.0,-70974.49
16500.0,-71067.91
16600.0,-71160.91
16700.0,-71253.48
16800.0,-71345.65
16900.0,-71437.41
17000.0,-71528.76
17100.0,-71619.72
17200.0,-71710.28
17300.0,-71800.46
17400.0,-71890.25
17500.0,-71979.66
17600.0,-72068.71
17700.0,-72157.38
17800.0,-72245.69
17900.0,-72333.64
18000.0,-72421.23
18100.0,-72508.47
18200.0,-72595.37
18300.0,-72681.92
18400.0,-72768.13
18500.0,-72854.01
18600.0,-72939.56
18700.0,-73024.78
18800.0,-73109.67
18900.0,-73194.25
19000.0,-73278.51
19100.0,-73362.46
19200.0,-73446.1
19300.0,-73529.43
19400.0,-73612.46
19500.0,-73695.19
19600.0,-73777.63
19700.0,-73859.77
19800.0,-73941.63
19900.0,-74023.2
20000.0,-74104.48
20100.0,-74185.49
20200.0,-74266.22
20300.0,-74346.67
20400.0,-74426.86
20500.0,-74506.78
20600.0,-74586.43
20700.0,-74665.81
20800.0,-74744.94
20900.0,-74823.81
21000.0,-74902.43
21100.0,-74980.79
21200.0,-75058.91
21300.0,-75136.78
21400.0,-75214.4
21500.0,-75291.78
21600.0,-75368.93
21700.0,-75445.83
21800.0,-75522.5
21900.0,-75598.94
22000.0,-75675.14
22100.0,-75751.12
22200.0,-75826.88
22300.0,-75902.41
22400.0,-75977.71
22500.0,-76052.8
22600.0,-76127.67
22700.0,-76202.33
22800.0,-76276.77
22900.0,-76351.0
23000.0,-76425.03
23100.0,-76498.84
23200.0,-76572.45
23300.0,-76645.86
23400.0,-76719.06
23500.0,-76792.07
23600.0,-76864.87
23700.0,-76937.48
23800.0,-77009.9
23900.0,-77082.12
24000.0,-77154.15
24100.0,-77226.0
24200.0,-77297.65
24300.0,-77369.12
24400.0,-77440.4
24500.0,-77511.51
24600.0,-77582.43
24700.0,-77653.17
24800.0,-77723.73
24900.0,-77794.12
25000.0,-77864.33
