P,Log K
1000.0,5.044851
1100.0,5.05484
1200.0,5.06441
1300.0,5.073575
1400.0,5.082349
1500.0,5.090749
1600.0,5.098792
1700.0,5.106495
1800.0,5.113874
1900.0,5.120946
2000.0,5.127724
2100.0,5.134225
2200.0,5.140462
2300.0,5.146447
2400.0,5.152194
2500.0,5.157713
2600.0,5.163015
2700.0,5.168112
2800.0,5.173012
2900.0,5.177725
3000.0,5.18226
3100.0,5.186624
3200.0,5.190827
3300.0,5.194874
3400.0,5.198773
3500.0,5.202531
3600.0,5.206154
3700.0,5.209647
3800.0,5.213017
3900.0,5.216269
4000.0,5.219408
4100.0,5.222438
4200.0,5.225365
4300.0,5.228192
4400.0,5.230925
4500.0,5.233566
4600.0,5.236121
4700.0,5.238591
4800.0,5.240982
4900.0,5.243296
5000.0,5.245536
5100.0,5.247706
5200.0,5.249808
5300.0,5.251846
5400.0,5.253821
5500.0,5.255737
5600.0,5.257595
5700.0,5.259399
5800.0,5.26115
5900.0,5.26285
6000.0,5.264502
6100.0,5.266107
6200.0,5.267667
6300.0,5.269183
6400.0,5.270658
6500.0,5.272093
6600.0,5.273489
6700.0,5.274848
6800.0,5.276172
6900.0,5.27746
7000.0,5.278716
7100.0,5.279939
7200.0,5.281132
7300.0,5.282294
7400.0,5.283428
7500.0,5.284534
7600.0,5.285613
7700.0,5.286666
7800.0,5.287695
7900.0,5.288699
8000.0,5.28968
8100.0,5.290639
8200.0,5.291576
8300.0,5.292492
8400.0,5.293388
8500.0,5.294264
8600.0,5.295121
8700.0,5.29596
8800.0,5.296782
8900.0,5.297586
9000.0,5.298375
9100.0,5.299147
9200.0,5.299904
9300.0,5.300646
9400.0,5.301374
9500.0,5.302088
9600.0,5.302789
9700.0,5.303476
9800.0,5.304152
9900.0,5.304815
10000.0,5.305467
10100.0,5.306108
10200.0,5.306737
10300.0,5.307357
10400.0,5.307966
10500.0,5.308566
10600.0,5.309156
10700.0,5.309737
10800.0,5.31031
10900.0,5.310874
11000.0,5.31143
11100.0,5.311979
11200.0,5.31252
11300.0,5.313053
11400.0,5.31358
11500.0,5.3141
11600.0,5.314613
11700.0,5.315121
11800.0,5.315622
11900.0,5.316118
12000.0,5.316608
12100.0,5.317093
12200.0,5.317573
12300.0,5.318048
12400.0,5.318519
12500.0,5.318985
12600.0,5.319447
12700.0,5.319904
12800.0,5.320358
12900.0,5.320809
13000.0,5.321255
13100.0,5.321699
13200.0,5.322139
13300.0,5.322576
13400.0,5.323011
13500.0,5.323442
13600.0,5.323871
13700.0,5.324298
13800.0,5.324722
13900.0,5.325145
14000.0,5.325565
14100.0,5.325983
14200.0,5.3264
14300.0,5.326815
14400.0,5.327229
14500.0,5.327641
14600.0,5.328052
14700.0,5.328462
14800.0,5.32887
14900.0,5.329278
15000.0,5.329685
15100.0,5.330091
15200.0,5.330497
15300.0,5.330902
15400.0,5.331307
15500.0,5.331711
15600.0,5.332115
15700.0,5.332519
15800.0,5.332923
15900.0,5.333327
16000.0,5.333731
16100.0,5.334135
16200.0,5.334539
16300.0,5.334944
16400.0,5.335349
16500.0,5.335755
16600.0,5.336161
16700.0,5.336567
16800.0,5.336975
16900.0,5.337383
17000.0,5.337792
17100.0,5.338202
17200.0,5.338613
17300.0,5.339024
17400.0,5.339437
17500.0,5.339851
17600.0,5.340266
17700.0,5.340683
17800.0,5.3411
17900.0,5.341519
18000.0,5.34194
18100.0,5.342362
18200.0,5.342785
18300.0,5.34321
18400.0,5.343636
18500.0,5.344065
18600.0,5.344494
18700.0,5.344926
18800.0,5.345359
18900.0,5.345794
19000.0,5.346231
19100.0,5.34667
19200.0,5.347111
19300.0,5.347554
19400.0,5.347998
19500.0,5.348445
19600.0,5.348894
19700.0,5.349345
19800.0,5.349798
19900.0,5.350254
20000.0,5.350711
20100.0,5.351171
20200.0,5.351633
20300.0,5.352098
20400.0,5.352565
20500.0,5.353034
20600.0,5.353505
20700.0,5.353979
20800.0,5.354456
20900.0,5.354935
21000.0,5.355416
21100.0,5.3559
21200.0,5.356387
21300.0,5.356876
21400.0,5.357368
21500.0,5.357862
21600.0,5.358359
21700.0,5.358859
21800.0,5.359362
21900.0,5.359867
22000.0,5.360375
22100.0,5.360886
22200.0,5.361399
22300.0,5.361916
22400.0,5.362435
22500.0,5.362957
22600.0,5.363482
22700.0,5.36401
22800.0,5.364541
22900.0,5.365074
23000.0,5.365611
23100.0,5.366151
23200.0,5.366693
23300.0,5.367239
23400.0,5.367787
23500.0,5.368339
23600.0,5.368894
23700.0,5.369451
23800.0,5.370012
23900.0,5.370576
24000.0,5.371143
24100.0,5.371713
24200.0,5.372286
24300.0,5.372862
24400.0,5.373442
24500.0,5.374024
24600.0,5.37461
24700.0,5.375199
24800.0,5.375791
24900.0,5.376387
25000.0,5.376985
