P,G (J/mol)
1000.0,-25202.37
1100.0,-24580.64
1200.0,-23994.28
1300.0,-23437.41
1400.0,-22905.53
1500.0,-22395.07
1600.0,-21903.2
1700.0,-21427.6
1800.0,-20966.36
1900.0,-20517.91
2000.0,-20080.9
2100.0,-19654.21
2200.0,-19236.86
2300.0,-18828.0
2400.0,-18426.92
2500.0,-18032.97
2600.0,-17645.6
2700.0,-17264.29
2800.0,-16888.62
2900.0,-16518.18
3000.0,-16152.63
3100.0,-15791.64
3200.0,-15434.93
3300.0,-15082.23
3400.0,-14733.3
3500.0,-14387.94
3600.0,-14045.94
3700.0,-13707.12
3800.0,-13371.31
3900.0,-13038.36
4000.0,-12708.12
4100.0,-12380.47
4200.0,-12055.27
4300.0,-11732.43
4400.0,-11411.82
4500.0,-11093.36
4600.0,-10776.95
4700.0,-10462.5
4800.0,-10149.94
4900.0,-9839.177
5000.0,-9530.153
5100.0,-9222.797
5200.0,-8917.045
5300.0,-8612.838
5400.0,-8310.12
5500.0,-8008.838
5600.0,-7708.94
5700.0,-7410.378
5800.0,-7113.109
5900.0,-6817.088
6000.0,-6522.275
6100.0,-6228.63
6200.0,-5936.117
6300.0,-5644.701
6400.0,-5354.348
6500.0,-5065.025
6600.0,-4776.703
6700.0,-4489.351
6800.0,-4202.942
6900.0,-3917.45
7000.0,-3632.848
7100.0,-3349.112
7200.0,-3066.218
7300.0,-2784.144
7400.0,-2502.868
7500.0,-2222.369
7600.0,-1942.628
7700.0,-1663.625
7800.0,-1385.341
7900.0,-1107.759
8000.0,-830.8615
8100.0,-554.6321
8200.0,-279.0547
8300.0,-4.114171
8400.0,270.2045
8500.0,543.9154
8600.0,817.0326
8700.0,1089.569
8800.0,1361.538
8900.0,1632.952
9000.0,1903.823
9100.0,2174.162
9200.0,2443.981
9300.0,2713.291
9400.0,2982.102
9500.0,3250.425
9600.0,3518.269
9700.0,3785.645
9800.0,4052.561
9900.0,4319.026
10000.0,4585.05
10100.0,4850.641
10200.0,5115.806
10300.0,5380.556
10400.0,5644.896
10500.0,5908.834
10600.0,6172.379
10700.0,6435.537
10800.0,6698.316
10900.0,6960.721
11000.0,7222.76
11100.0,7484.439
11200.0,7745.764
11300.0,8006.742
11400.0,8267.378
11500.0,8527.679
11600.0,8787.649
11700.0,9047.295
11800.0,9306.621
11900.0,9565.634
12000.0,9824.337
12100.0,10082.74
12200.0,10340.84
12300.0,10598.64
12400.0,10856.16
12500.0,11113.39
12600.0,11370.34
12700.0,11627.02
12800.0,11883.42
12900.0,12139.55
13000.0,12395.42
13100.0,12651.03
13200.0,12906.39
13300.0,13161.49
13400.0,13416.34
13500.0,13670.95
13600.0,13925.31
13700.0,14179.44
13800.0,14433.33
13900.0,14686.99
14000.0,14940.42
14100.0,15193.63
14200.0,15446.62
14300.0,15699.38
14400.0,15951.93
14500.0,16204.27
14600.0,16456.39
14700.0,16708.31
14800.0,16960.03
14900.0,17211.54
15000.0,17462.85
15100.0,17713.97
15200.0,17964.89
15300.0,18215.62
15400.0,18466.16
15500.0,18716.51
15600.0,18966.68
15700.0,19216.67
15800.0,19466.47
15900.0,19716.1
16000.0,19965.55
16100.0,20214.83
16200.0,20463.94
16300.0,20712.87
16400.0,20961.64
16500.0,21210.25
16600.0,21458.69
16700.0,21706.97
16800.0,21955.09
16900.0,22203.05
17000.0,22450.86
17100.0,22698.51
17200.0,22946.01
17300.0,23193.36
17400.0,23440.56
17500.0,23687.61
17600.0,23934.51
17700.0,24181.28
17800.0,24427.89
17900.0,24674.37
18000.0,24920.71
18100.0,25166.91
18200.0,25412.98
18300.0,25658.91
18400.0,25904.7
18500.0,26150.37
18600.0,26395.9
18700.0,26641.3
18800.0,26886.58
18900.0,27131.73
19000.0,27376.75
19100.0,27621.65
19200.0,27866.42
19300.0,28111.08
19400.0,28355.61
19500.0,28600.03
19600.0,28844.32
19700.0,29088.5
19800.0,29332.57
19900.0,29576.52
20000.0,29820.35
20100.0,30064.08
20200.0,30307.69
20300.0,30551.19
20400.0,30794.59
20500.0,31037.87
20600.0,31281.05
20700.0,31524.12
20800.0,31767.09
20900.0,32009.95
21000.0,32252.71
21100.0,32495.37
21200.0,32737.93
21300.0,32980.39
21400.0,33222.74
21500.0,33465.0
21600.0,33707.16
21700.0,33949.23
21800.0,34191.2
21900.0,34433.07
22000.0,34674.85
22100.0,34916.54
22200.0,35158.13
22300.0,35399.64
22400.0,35641.05
22500.0,35882.37
22600.0,36123.61
22700.0,36364.75
22800.0,36605.81
22900.0,36846.78
23000.0,37087.66
23100.0,37328.46
23200.0,37569.17
23300.0,37809.8
23400.0,38050.35
23500.0,38290.81
23600.0,38531.2
23700.0,38771.5
23800.0,39011.72
23900.0,39251.86
24000.0,39491.92
24100.0,39731.9
24200.0,39971.8
24300.0,40211.63
24400.0,40451.38
24500.0,40691.06
24600.0,40930.65
24700.0,41170.18
24800.0,41409.63
24900.0,41649.0
25000.0,41888.3
